 (),# SMs (SM),# TPCs (),data_type,encoding,end_ec,end_vbw,kernel,n_cols,n_vecs,patcher,sample_run,start_ec,start_vbw,unpacker,unpack_n_values,unpack_n_vectors,Achieved Active Warps Per SM (warp),Achieved Occupancy (%),Average DRAM Active Cycles (cycle),Average L1 Active Cycles (cycle),Average L2 Active Cycles (cycle),Average SM Active Cycles (cycle),Average SMSP Active Cycles (cycle),Block Limit Registers (block),Block Limit Shared Mem (block),Block Limit SM (block),Block Limit Warps (block),Block Size,Block Size (),Compute (SM) Throughput (%),Driver Shared Memory Per Block (byte/block),Duration (ns),Dynamic Shared Memory Per Block (byte/block),DRAM Frequency (hz),DRAM Throughput (%),Elapsed Cycles (cycle),Enabled TPC IDs (),Function Cache Configuration (),Grid Size,Grid Size (),ID,Kernel Name,L1/TEX Cache Throughput (%),L2 Cache Throughput (%),Memory Throughput (%),Registers Per Thread (register/thread),Shared Memory Configuration Size (byte),Stack Size (),Static Shared Memory Per Block (byte/block),SM Active Cycles (cycle),SM Frequency (hz),Theoretical Active Warps per SM (warp),Theoretical Occupancy (%),Threads (thread),Total DRAM Elapsed Cycles (cycle),Total L1 Elapsed Cycles (cycle),Total L2 Elapsed Cycles (cycle),Total SM Elapsed Cycles (cycle),Total SMSP Elapsed Cycles (cycle),Uses Green Context (),Waves Per SM ()
"",80,40,u32,FFOR,0,32,query_multi_column,6,102400,none,5,0,0,old_fls,32,1,7.49,11.70,9374.66,555733.99,180805.77,555733.99,551400.30,4,32,32,32,"(64, 1, 1)",64,47.02,0,429312,0,873695587.36,2.50,563413,all,CachePreferNone,"(51200, 1, 1)",51200,29,"void query_multi_column<unsigned int, 1, 32, FFORDecompressor<unsigned int, 1, BitUnpackerOldFls<unsigned int, 1, 32, FFORFunctor<unsigned int, 1>>, FFORColumn<unsigned int>>, FFORColumn<unsigned int>>(T5, T5, T5, T5, T5, T5, T1, bool *)",6.00,2.28,5.94,236,0,1024,0,555733.99,1312067913.31,8,12.50,3276800,12002816,44859314,34724928,44859314,179437256,0,160
"",80,40,u32,FFOR,0,32,query_multi_column,7,102400,none,1,0,0,old_fls,32,1,7.68,12.00,3977158.91,7733377.35,7471499.45,7733377.35,7740415.69,4,32,32,32,"(64, 1, 1)",64,4.21,0,5913504,0,876042360.00,76.77,7755817,all,CachePreferNone,"(51200, 1, 1)",51200,30,"void query_multi_column<unsigned int, 1, 32, FFORDecompressor<unsigned int, 1, BitUnpackerOldFls<unsigned int, 1, 32, FFORFunctor<unsigned int, 1>>, FFORColumn<unsigned int>>, FFORColumn<unsigned int>>(T5, T5, T5, T5, T5, T5, T5, T1, bool *)",64.44,44.61,76.77,234,0,1024,0,7733377.35,1311501550.80,8,12.50,3276800,165775360,621632824,478734656,621632824,2486531296,0,160
"",80,40,u32,FFOR,0,32,query_multi_column,7,102400,none,2,0,0,old_fls,32,1,7.69,12.01,3971306.19,7757373.38,7456561.19,7757373.38,7739556.25,4,32,32,32,"(64, 1, 1)",64,4.21,0,5914912,0,878841815.40,76.40,7757584,all,CachePreferNone,"(51200, 1, 1)",51200,31,"void query_multi_column<unsigned int, 1, 32, FFORDecompressor<unsigned int, 1, BitUnpackerOldFls<unsigned int, 1, 32, FFORFunctor<unsigned int, 1>>, FFORColumn<unsigned int>>, FFORColumn<unsigned int>>(T5, T5, T5, T5, T5, T5, T5, T1, bool *)",64.54,44.59,76.40,234,0,1024,0,7757373.38,1311488995.95,8,12.50,3276800,166344704,620683300,478832384,620683300,2482733200,0,160
"",80,40,u32,FFOR,0,32,query_multi_column,7,102400,none,3,0,0,old_fls,32,1,7.69,12.01,3979127.94,7751883.56,7462791.86,7751883.56,7730468.37,4,32,32,32,"(64, 1, 1)",64,4.21,0,5929568,0,875887079.80,76.62,7776898,all,CachePreferNone,"(51200, 1, 1)",51200,32,"void query_multi_column<unsigned int, 1, 32, FFORDecompressor<unsigned int, 1, BitUnpackerOldFls<unsigned int, 1, 32, FFORFunctor<unsigned int, 1>>, FFORColumn<unsigned int>>, FFORColumn<unsigned int>>(T5, T5, T5, T5, T5, T5, T5, T1, bool *)",64.50,44.47,76.62,234,0,1024,0,7751883.56,1311510636.19,8,12.50,3276800,166196224,621045498,480066688,621045498,2484181992,0,160
"",80,40,u32,FFOR,0,32,query_multi_column,7,102400,none,4,0,0,old_fls,32,1,7.69,12.01,3977084.75,7774654.36,7476687.25,7774654.36,7752937.83,4,32,32,32,"(64, 1, 1)",64,4.20,0,5922176,0,879536170.49,76.35,7767195,all,CachePreferNone,"(51200, 1, 1)",51200,33,"void query_multi_column<unsigned int, 1, 32, FFORDecompressor<unsigned int, 1, BitUnpackerOldFls<unsigned int, 1, 32, FFORFunctor<unsigned int, 1>>, FFORColumn<unsigned int>>, FFORColumn<unsigned int>>(T5, T5, T5, T5, T5, T5, T5, T1, bool *)",64.37,44.55,76.35,234,0,1024,0,7774654.36,1311499860.86,8,12.50,3276800,166680576,622412092,479324544,622412092,2489648368,0,160
"",80,40,u32,FFOR,0,32,query_multi_column,7,102400,none,5,0,0,old_fls,32,1,7.68,12.01,3981832.94,7758497.90,7458530.14,7758497.90,7734204.29,4,32,32,32,"(64, 1, 1)",64,4.20,0,5926688,0,876809442.31,76.62,7772889,all,CachePreferNone,"(51200, 1, 1)",51200,34,"void query_multi_column<unsigned int, 1, 32, FFORDecompressor<unsigned int, 1, BitUnpackerOldFls<unsigned int, 1, 32, FFORFunctor<unsigned int, 1>>, FFORColumn<unsigned int>>, FFORColumn<unsigned int>>(T5, T5, T5, T5, T5, T5, T5, T1, bool *)",64.28,44.51,76.62,234,0,1024,0,7758497.90,1311449413.23,8,12.50,3276800,166290432,623184794,479767488,623184794,2492739176,0,160
"",80,40,u32,FFOR,0,32,query_multi_column,8,102400,none,1,0,0,old_fls,32,1,7.61,11.90,5501340.25,10453371.99,10072422.42,10453371.99,10385592.03,4,32,32,32,"(64, 1, 1)",64,4.45,0,7984736,0,877257807.90,78.54,10473212,all,CachePreferNone,"(51200, 1, 1)",51200,35,"void query_multi_column<unsigned int, 1, 32, FFORDecompressor<unsigned int, 1, BitUnpackerOldFls<unsigned int, 1, 32, FFORFunctor<unsigned int, 1>>, FFORColumn<unsigned int>>, FFORColumn<unsigned int>>(T5, T5, T5, T5, T5, T5, T5, T5, T1, bool *)",58.45,41.47,78.54,254,0,1232,0,10453371.99,1311509297.24,8,12.50,3276800,224149504,837572638,646568448,837572638,3350290552,0,160
"",80,40,u32,FFOR,0,32,query_multi_column,8,102400,none,2,0,0,old_fls,32,1,7.62,11.91,5500271.25,10433816.70,10056923.19,10433816.70,10383243.29,4,32,32,32,"(64, 1, 1)",64,4.46,0,7980064,0,876536328.53,78.63,10466196,all,CachePreferNone,"(51200, 1, 1)",51200,36,"void query_multi_column<unsigned int, 1, 32, FFORDecompressor<unsigned int, 1, BitUnpackerOldFls<unsigned int, 1, 32, FFORFunctor<unsigned int, 1>>, FFORColumn<unsigned int>>, FFORColumn<unsigned int>>(T5, T5, T5, T5, T5, T5, T5, T5, T1, bool *)",58.55,42.04,78.63,254,0,1232,0,10433816.70,1310134730.75,8,12.50,3276800,223834112,836176936,637810688,836176936,3344707744,0,160
"",80,40,u32,FFOR,0,32,query_multi_column,8,102400,none,3,0,0,old_fls,32,1,7.63,11.92,5499202.62,10470411.75,10068548.20,10470411.75,10388156.25,4,32,32,32,"(64, 1, 1)",64,4.45,0,7986624,0,878272471.57,78.40,10475643,all,CachePreferNone,"(51200, 1, 1)",51200,37,"void query_multi_column<unsigned int, 1, 32, FFORDecompressor<unsigned int, 1, BitUnpackerOldFls<unsigned int, 1, 32, FFORFunctor<unsigned int, 1>>, FFORColumn<unsigned int>>, FFORColumn<unsigned int>>(T5, T5, T5, T5, T5, T5, T5, T5, T1, bool *)",58.45,41.47,78.40,254,0,1232,0,10470411.75,1311511367.84,8,12.50,3276800,224461824,837596642,646555648,837596642,3350386568,0,160
"",80,40,u32,FFOR,0,32,query_multi_column,8,102400,none,4,0,0,old_fls,32,1,7.62,11.90,5501922,10440063.54,10060669.89,10440063.54,10397711.88,4,32,32,32,"(64, 1, 1)",64,4.46,0,7985472,0,875694260.78,78.68,10474115,all,CachePreferNone,"(51200, 1, 1)",51200,38,"void query_multi_column<unsigned int, 1, 32, FFORDecompressor<unsigned int, 1, BitUnpackerOldFls<unsigned int, 1, 32, FFORFunctor<unsigned int, 1>>, FFORColumn<unsigned int>>, FFORColumn<unsigned int>>(T5, T5, T5, T5, T5, T5, T5, T5, T1, bool *)",58.56,41.47,78.68,254,0,1232,0,10440063.54,1311512581.85,8,12.50,3276800,223770624,836009506,646411392,836009506,3344038024,0,160
"",80,40,u32,FFOR,0,32,query_multi_column,8,102400,none,5,0,0,old_fls,32,1,7.62,11.91,5501580.41,10436191.07,10067487.16,10436191.07,10389535.48,4,32,32,32,"(64, 1, 1)",64,4.46,0,7978560,0,876079894.12,78.71,10465228,all,CachePreferNone,"(51200, 1, 1)",51200,39,"void query_multi_column<unsigned int, 1, 32, FFORDecompressor<unsigned int, 1, BitUnpackerOldFls<unsigned int, 1, 32, FFORFunctor<unsigned int, 1>>, FFORColumn<unsigned int>>, FFORColumn<unsigned int>>(T5, T5, T5, T5, T5, T5, T5, T5, T1, bool *)",58.58,41.50,78.71,254,0,1232,0,10436191.07,1311518473.68,8,12.50,3276800,223675392,835663970,646105024,835663970,3342655880,0,160
"",80,40,u32,FFOR,0,32,query_multi_column,9,102400,none,1,0,0,old_fls,32,1,7.48,11.68,6598959.88,12808251.80,12322283.12,12808251.80,12731475.11,4,32,32,32,"(64, 1, 1)",64,4.87,0,9790464,0,877255255.73,76.83,12840095,all,CachePreferNone,"(51200, 1, 1)",51200,40,"void query_multi_column<unsigned int, 1, 32, FFORDecompressor<unsigned int, 1, BitUnpackerOldFls<unsigned int, 1, 32, FFORFunctor<unsigned int, 1>>, FFORColumn<unsigned int>>, FFORColumn<unsigned int>>(T5, T5, T5, T5, T5, T5, T5, T5, T5, T1, bool *)",56.07,40.90,76.83,254,0,1424,0,12808251.80,1310133871.08,8,12.50,3276800,274839552,1025191722,783073472,1025191722,4100766888,0,160
"",80,40,u32,FFOR,0,32,query_multi_column,9,102400,none,2,0,0,old_fls,32,1,7.48,11.69,6599312.38,12779818.18,12330110.20,12779818.18,12689801.05,4,32,32,32,"(64, 1, 1)",64,4.87,0,9782016,0,875989571.07,77.01,12829166,all,CachePreferNone,"(51200, 1, 1)",51200,41,"void query_multi_column<unsigned int, 1, 32, FFORDecompressor<unsigned int, 1, BitUnpackerOldFls<unsigned int, 1, 32, FFORFunctor<unsigned int, 1>>, FFORColumn<unsigned int>>, FFORColumn<unsigned int>>(T5, T5, T5, T5, T5, T5, T5, T5, T5, T1, bool *)",56.00,40.92,77.01,254,0,1424,0,12779818.18,1310208839.70,8,12.50,3276800,274206208,1026349702,782746304,1026349702,4105398808,0,160
