return_code,avg_bits_per_value,avg_exceptions_per_vector,kernel,compressor,file,n_bytes,duration_ms,compression_ratio,data_type,n_vecs,sample_run
0,"","",decompression_query,BitcompSparse,alp-gov31,209715200,0.863776,14.047633,f64,25600,1
0,"","",decompression,BitcompSparse,alp-stocks_usa_c,209715200,0.808480,0.998343,f64,25600,2
0,"","",decompression_query,BitcompSparse,publicbi-Telco-TOTAL_OUTGOING_REV_P1,104857600,0.671168,1.004884,f32,25600,4
0,"","",decompression_query,GDeflate,publicbi-Telco-OFFNET_REV_P1,104857600,2.690368,1.661359,f32,25600,4
0,"","",decompression_query,Thrust,alp-bird_migration_f,209715200,3.288320,1.000000,f64,25600,4
0,"","",decompression_query,Bitcomp,alp-gov31,209715200,0.881856,15.310120,f64,25600,3
0,"","",decompression,BitcompSparse,publicbi-Telco-TOTAL_INCOMING_MIN_P1,104857600,0.438720,1.026658,f32,25600,5
0,"","",decompression,zstd,publicbi-CommonGovernment-baseandexercisedoptionsvalue,104857600,4.796320,1.394742,f32,25600,4
0,"","",decompression,Snappy,publicbi-CMSprovider-LINE_SRVC_CNT,104857600,3.287840,1.703899,f32,25600,4
0,39.731758,7.102695,decompression,GALP,alp-nyc29,209715200,0.635360,1.575478,f64,25600,5
0,"","",decompression,Deflate,publicbi-Telco-RECHRG_TOTAL_LOAD_P1,104857600,13.098496,2.020340,f32,25600,5
0,18.884062,127.531641,decompression,GALP,alp-food_prices,209715200,0.604768,2.193027,f64,25600,2
0,"","",decompression_query,BitcompSparse,publicbi-CityMaxCapita-LPF,104857600,0.635360,1.141462,f32,25600,2
0,"","",decompression,BitcompSparse,alp-neon_wind_dir,209715200,0.800448,0.998294,f64,25600,5
0,"","",decompression,GDeflate,alp-gov31,209715200,3.941856,6.041883,f64,25600,1
0,"","",decompression_query,zstd,alp-gov10,209715200,9.699840,2.297688,f64,25600,4
0,11.583555,10.088594,decompression_query,ALP,publicbi-Physicians-line_srvc_cnt,104857600,0.110656,2.642194,f32,25600,5
0,"","",decompression_query,Snappy,publicbi-Telco-RECHRG_TOTAL_LOAD_P3,104857600,3.771232,2.119036,f32,25600,1
0,"","",decompression_query,zstd,alp-arade4,209715200,7.819008,1.792259,f64,25600,3
0,"","",decompression,GDeflate,publicbi-Telco-TOTAL_OUTGOING_MIN_P2,104857600,2.517152,1.286643,f32,25600,3
0,"","",decompression_query,LZ4,alp-cms1,209715200,4.772768,1.893245,f64,25600,2
0,"","",decompression,Bitcomp,publicbi-Telco-TOTAL_OUTGOING_MIN_P2,104857600,0.445280,1.111591,f32,25600,2
0,"","",decompression_query,zstd,alp-neon_wind_dir,209715200,8.451680,2.553217,f64,25600,1
0,"","",decompression_query,Deflate,publicbi-Telco-TOTAL_MINS_P3,104857600,13.397088,1.481911,f32,25600,4
0,"","",decompression_query,LZ4,publicbi-Telco-TOTAL_MINS_P6,104857600,2.583616,1.118792,f32,25600,2
0,19.340586,227.304062,decompression_query,GALP,publicbi-Telco-TOTAL_OUTGOING_MIN_P6,104857600,0.162752,1.047458,f32,25600,3
0,"","",decompression,Bitcomp,alp-neon_bio_temp_c,209715200,0.866368,1.025871,f64,25600,1
0,"","",decompression_query,zstd,publicbi-Telco-RECHRG_TOTAL_LOAD_P6,104857600,4.936768,1.989574,f32,25600,3
0,"","",decompression,Snappy,publicbi-Telco-RECHRG_TOTAL_LOAD_P4,104857600,3.400896,2.334206,f32,25600,4
0,"","",decompression,BitcompSparse,publicbi-Telco-FREE_MINS_P1,104857600,0.418720,1.173926,f32,25600,5
0,"","",decompression_query,BitcompSparse,publicbi-Telco-TOTAL_INCOMING_MIN_P6,104857600,0.660224,1.022784,f32,25600,5
0,"","",decompression_query,Snappy,alp-gov31,209715200,2.391072,12.833491,f64,25600,1
0,10.637852,0.109961,decompression,GALP,alp-city_temperature_f,209715200,0.472192,5.827517,f64,25600,2
0,"","",decompression_query,LZ4,publicbi-Telco-CHRGD_REV_P1,104857600,2.836384,1.154550,f32,25600,2
0,25.273086,139.151992,decompression,ALP,alp-cms1,209715200,0.761568,1.766479,f64,25600,3
0,"","",decompression,zstd,publicbi-Telco-TOTAL_INCOMING_MIN_P1,104857600,4.991488,1.264132,f32,25600,2
0,"","",decompression_query,Bitcomp,publicbi-PanCreactomy1-LINE_SRVC_CNT,104857600,0.821728,1.008123,f32,25600,1
0,"","",decompression,GDeflate,alp-neon_air_pressure,209715200,4.244672,1.150679,f64,25600,5
0,22.493047,267.827148,decompression_query,ALP,publicbi-CommonGovernment-baseandalloptionsvalue,104857600,0.423936,0.911626,f32,25600,4
0,"","",decompression,Deflate,publicbi-Telco-CHRGD_REV_P1,104857600,13.140928,1.370887,f32,25600,4
0,13.342500,100.114805,decompression,GALP,publicbi-Telco-ONNET_MINS_P4,104857600,0.250528,1.721349,f32,25600,1
0,"","",decompression_query,Deflate,publicbi-CityMaxCapita-LPF,104857600,13.439168,1.434904,f32,25600,1
0,"","",decompression,LZ4,publicbi-Telco-TOTAL_MINS_P3,104857600,2.798272,1.243671,f32,25600,4
0,"","",decompression_query,LZ4,alp-basel_wind_f,209715200,4.431232,2.214128,f64,25600,5
0,"","",decompression_query,BitcompSparse,alp-stocks_uk,209715200,1.184960,1.012269,f64,25600,3
0,"","",decompression,Deflate,publicbi-Telco-TOTAL_INCOMING_MIN_P1,104857600,13.262496,1.207567,f32,25600,3
0,9.905156,28.033633,decompression_query,GALP,alp-cms9,209715200,0.284896,5.148328,f64,25600,2
0,"","",decompression_query,Deflate,publicbi-Telco-CHRGD_REV_P1,104857600,13.333088,1.370887,f32,25600,5
0,"","",decompression,BitcompSparse,publicbi-Telco-TOTAL_MINS_P3,104857600,0.418272,1.185029,f32,25600,5
0,"","",decompression,Bitcomp,publicbi-Telco-RECHRG_TOTAL_LOAD_P1,104857600,0.454464,1.060991,f32,25600,2
0,"","",decompression,GDeflate,publicbi-Telco-TOTAL_OUTGOING_REV_P1,104857600,2.411392,1.183767,f32,25600,2
0,"","",decompression,LZ4,alp-bitcoin_f,209715200,2.597824,3.880106,f64,25600,2
0,"","",decompression_query,zstd,alp-basel_temp_f,209715200,7.723904,2.611324,f64,25600,5
0,"","",decompression_query,Snappy,alp-stocks_de,209715200,4.273184,2.982238,f64,25600,1
0,"","",decompression,zstd,alp-gov10,209715200,9.241440,2.297688,f64,25600,4
0,"","",decompression_query,Deflate,alp-medicare9,209715200,23.950081,3.354281,f64,25600,3
0,"","",decompression_query,Snappy,publicbi-Telco-TOTAL_OUTGOING_REV_P1,104857600,2.110624,1.038005,f32,25600,5
0,"","",decompression,Bitcomp,publicbi-Telco-RECHRG_TOTAL_LOAD_P6,104857600,0.454112,1.060324,f32,25600,5
0,"","",decompression_query,LZ4,publicbi-Telco-TOTAL_INCOMING_MIN_P6,104857600,2.032672,1.043983,f32,25600,2
0,9.905156,28.033633,decompression,ALP,alp-cms9,209715200,0.544352,5.253989,f64,25600,1
0,19.340586,227.304062,decompression_query,GALP,publicbi-Telco-TOTAL_OUTGOING_MIN_P6,104857600,0.156672,1.047458,f32,25600,2
0,"","",decompression_query,Bitcomp,publicbi-Telco-RECHRG_TOTAL_LOAD_P6,104857600,0.666016,1.060324,f32,25600,5
0,"","",decompression_query,Bitcomp,alp-basel_temp_f,209715200,1.187744,0.998294,f64,25600,3
0,"","",decompression_query,Snappy,alp-neon_air_pressure,209715200,4.253728,2.665357,f64,25600,3
0,"","",decompression_query,Snappy,alp-basel_wind_f,209715200,4.664320,2.196635,f64,25600,4
0,17.123281,223.815352,decompression_query,GALP,publicbi-Telco-TOTAL_MINS_P6,104857600,0.143360,1.135988,f32,25600,2
0,"","",decompression,GDeflate,publicbi-CommonGovernment-baseandalloptionsvalue,104857600,2.496768,1.296038,f32,25600,2
0,"","",decompression,zstd,publicbi-MedPayment1-line_srvc_cnt,104857600,4.854304,2.410550,f32,25600,3
0,"","",decompression,Snappy,alp-arade4,209715200,7.371776,1.269186,f64,25600,1
0,"","",decompression,zstd,publicbi-CommonGovernment-nongsadollar,104857600,4.168992,1.700417,f32,25600,3
0,10.570820,2.272852,decompression,GALP,alp-stocks_de,209715200,0.470496,5.773920,f64,25600,1
0,"","",decompression_query,Bitcomp,publicbi-Telco-RECHRG_TOTAL_LOAD_P6,104857600,0.661664,1.060324,f32,25600,4
0,"","",decompression,Deflate,alp-gov10,209715200,25.360096,1.555002,f64,25600,5
0,"","",decompression_query,zstd,publicbi-Telco-TOTAL_MINS_P1,104857600,4.839744,1.369298,f32,25600,2
0,"","",decompression_query,Snappy,alp-nyc29,209715200,5.338144,1.895520,f64,25600,1
0,"","",decompression_query,zstd,publicbi-CMSprovider-AVERAGE_SUBMITTED_CHRG_AMT,104857600,5.430656,1.754123,f32,25600,3
0,"","",decompression,zstd,alp-city_temperature_f,209715200,9.360576,3.568574,f64,25600,4
0,"","",decompression,Deflate,publicbi-Telco-TOTAL_OUTGOING_MIN_P1,104857600,13.202112,1.222041,f32,25600,1
0,1.877969,8.095977,decompression,GALP,alp-gov31,209715200,0.424864,22.484507,f64,25600,3
0,"","",decompression_query,BitcompSparse,publicbi-Telco-TOTAL_OUTGOING_MIN_P4,104857600,0.641696,1.261696,f32,25600,4
0,"","",decompression,Bitcomp,publicbi-CommonGovernment-nongsadollar,104857600,0.485568,1.239320,f32,25600,4
0,"","",decompression_query,zstd,publicbi-CMSprovider-AVERAGE_SUBMITTED_CHRG_AMT,104857600,5.568416,1.754123,f32,25600,1
0,"","",decompression,BitcompSparse,alp-stocks_uk,209715200,0.799232,1.012269,f64,25600,2
0,"","",decompression,Snappy,publicbi-Telco-FREE_MINS_P3,104857600,3.886688,2.071871,f32,25600,2
0,"","",decompression_query,LZ4,alp-bird_migration_f,209715200,4.863168,1.984104,f64,25600,3
0,"","",decompression_query,zstd,alp-medicare1,209715200,7.503520,2.060607,f64,25600,1
0,"","",decompression,LZ4,publicbi-Telco-RECHRG_TOTAL_LOAD_P3,104857600,3.687584,1.504148,f32,25600,5
0,1.164219,331.539570,decompression_query,ALP,publicbi-CMSprovider-STDEV_MEDICARE_ALLOWED_AMT,104857600,0.447488,1.909328,f32,25600,3
0,"","",decompression,Bitcomp,alp-bird_migration_f,209715200,0.961184,1.017453,f64,25600,3
0,10.637852,0.109961,decompression,GALP,alp-city_temperature_f,209715200,0.467168,5.827517,f64,25600,3
0,"","",decompression,GDeflate,alp-bitcoin_f,209715200,4.252928,1.097394,f64,25600,1
0,13.020938,2.866719,decompression,ALP,publicbi-Telco-RECHRG_TOTAL_LOAD_P1,104857600,0.231392,2.422407,f32,25600,3
0,"","",decompression,zstd,publicbi-Telco-RECHRG_INC_MIN_USED_P2,104857600,5.990432,1.261011,f32,25600,4
0,"","",decompression_query,Thrust,publicbi-Telco-RECHRG_INC_MIN_USED_P2,104857600,2.983680,1.000000,f32,25600,5
0,11.778906,6.145352,decompression_query,GALP,publicbi-Telco-RECHRG_TOTAL_LOAD_P2,104857600,0.073024,2.535325,f32,25600,5
0,1.877969,8.095977,decompression,GALP,alp-gov31,209715200,0.418976,22.484507,f64,25600,5
0,"","",decompression,Deflate,publicbi-Telco-TOTAL_INCOMING_MIN_P1,104857600,13.263712,1.207567,f32,25600,5
0,"","",decompression_query,GDeflate,alp-food_prices,209715200,4.518400,1.775993,f64,25600,3
0,"","",decompression,LZ4,publicbi-Telco-RECHRG_INC_MIN_USED_P2,104857600,2.136352,1.080790,f32,25600,5
0,15.464961,298.648281,decompression,ALP,publicbi-CMSprovider-AVERAGE_SUBMITTED_CHRG_AMT,104857600,0.522240,1.084055,f32,25600,2
0,"","",decompression,zstd,publicbi-CommonGovernment-baseandalloptionsvalue,104857600,4.768672,1.412580,f32,25600,4
0,12.884258,7.710117,decompression_query,GALP,alp-neon_dew_point_temp,209715200,0.285760,4.630116,f64,25600,3
0,15.237070,106.891445,decompression_query,GALP,publicbi-Telco-TOTAL_MINS_P3,104857600,0.107584,1.538292,f32,25600,4
0,"","",decompression,zstd,alp-neon_wind_dir,209715200,8.072576,2.553217,f64,25600,2
0,13.020938,2.866719,decompression,GALP,publicbi-Telco-RECHRG_TOTAL_LOAD_P1,104857600,0.227360,2.334062,f32,25600,4
0,"","",decompression,Bitcomp,publicbi-Telco-ONNET_MINS_P1,104857600,0.444000,1.082975,f32,25600,2
0,"","",decompression,Deflate,alp-food_prices,209715200,24.773184,1.785034,f64,25600,5
0,"","",decompression_query,zstd,alp-bird_migration_f,209715200,7.761472,2.865334,f64,25600,5
0,26.362031,250.280000,decompression,ALP,publicbi-Telco-TOTAL_INCOMING_MIN_P6,104857600,0.516096,0.838825,f32,25600,5
0,"","",decompression,BitcompSparse,alp-gov40,209715200,0.443200,64.672780,f64,25600,4
0,"","",decompression,Deflate,alp-cms9,209715200,23.498880,3.360561,f64,25600,1
0,"","",decompression,LZ4,publicbi-CityMaxCapita-LPF,104857600,3.644032,1.476534,f32,25600,2
0,"","",decompression,GDeflate,publicbi-Telco-RECHRG_TOTAL_LOAD_P4,104857600,2.486144,2.696580,f32,25600,5
0,"","",decompression,BitcompSparse,publicbi-Telco-ONNET_MINS_P1,104857600,0.434432,1.081352,f32,25600,4
0,"","",decompression_query,Snappy,alp-food_prices,209715200,4.805792,2.503586,f64,25600,5
0,"","",decompression_query,BitcompSparse,alp-neon_pm10_dust,209715200,1.178048,0.998420,f64,25600,5
0,"","",decompression,Bitcomp,publicbi-MedPayment1-line_srvc_cnt,104857600,0.599456,1.008008,f32,25600,4
0,"","",decompression,Deflate,publicbi-CMSprovider-STDEV_MEDICARE_ALLOWED_AMT,104857600,12.693152,2.249488,f32,25600,4
0,"","",decompression_query,Deflate,alp-bird_migration_f,209715200,25.535233,1.107858,f64,25600,5
0,"","",decompression,GDeflate,publicbi-Telco-TOTAL_OUTGOING_MIN_P2,104857600,2.463648,1.286643,f32,25600,1
0,16.046797,190.214180,decompression_query,GALP,publicbi-Telco-TOTAL_OUTGOING_MIN_P2,104857600,0.130432,1.254028,f32,25600,5
0,"","",decompression_query,BitcompSparse,publicbi-CommonGovernment-baseandalloptionsvalue,104857600,0.674528,1.025584,f32,25600,1
0,"","",decompression_query,Snappy,alp-neon_pm10_dust,209715200,3.374304,4.576421,f64,25600,1
