ID,alias,vbw,n_vecs,Elapsed Cycles (cycle),Kernel Name,Block Size,Grid Size,Memory Throughput (%),DRAM Throughput (%),L1/TEX Cache Throughput (%),L2 Cache Throughput (%),SM Active Cycles (cycle),Compute (SM) Throughput (%),Registers Per Thread (register/thread),Threads (thread),Waves Per SM (),Block Limit SM (block),Block Limit Registers (block),Block Limit Shared Mem (block),Block Limit Warps (block),Theoretical Active Warps per SM (warp),Theoretical Occupancy (%),Achieved Occupancy (%),Achieved Active Warps Per SM (warp)
20,bp-1v,20,125000,620139,"void scan_column<unsigned int, BPUnpacker<unsigned int, BitUnpackerStateful<unsigned int, 1, 1, BPFunctor<unsigned int>, CacheLoader<unsigned int, 1>, 0>, BPFunctor<unsigned int>, BPColumn<unsigned int>>, BPColumn<unsigned int>, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",76.36,76.36,20.50,26.57,613036.21,95.57,29,4000000,24.41,32,32,32,32,64,100,95.20,60.93
21,bp-1v,21,125000,620345,"void scan_column<unsigned int, BPUnpacker<unsigned int, BitUnpackerStateful<unsigned int, 1, 1, BPFunctor<unsigned int>, CacheLoader<unsigned int, 1>, 0>, BPFunctor<unsigned int>, BPColumn<unsigned int>>, BPColumn<unsigned int>, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",80.09,80.09,21.55,27.92,613110.64,95.54,29,4000000,24.41,32,32,32,32,64,100,95.32,61.00
22,bp-1v,22,125000,621170,"void scan_column<unsigned int, BPUnpacker<unsigned int, BitUnpackerStateful<unsigned int, 1, 1, BPFunctor<unsigned int>, CacheLoader<unsigned int, 1>, 0>, BPFunctor<unsigned int>, BPColumn<unsigned int>>, BPColumn<unsigned int>, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",83.87,83.87,22.53,29.18,613342.01,95.48,29,4000000,24.41,32,32,32,32,64,100,95.21,60.93
23,bp-1v,23,125000,621843,"void scan_column<unsigned int, BPUnpacker<unsigned int, BitUnpackerStateful<unsigned int, 1, 1, BPFunctor<unsigned int>, CacheLoader<unsigned int, 1>, 0>, BPFunctor<unsigned int>, BPColumn<unsigned int>>, BPColumn<unsigned int>, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",87.62,87.62,23.58,30.49,613364.90,95.47,29,4000000,24.41,32,32,32,32,64,100,95.18,60.92
24,bp-1v,24,125000,621587,"void scan_column<unsigned int, BPUnpacker<unsigned int, BitUnpackerStateful<unsigned int, 1, 1, BPFunctor<unsigned int>, CacheLoader<unsigned int, 1>, 0>, BPFunctor<unsigned int>, BPColumn<unsigned int>>, BPColumn<unsigned int>, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",91.49,91.49,24.50,31.69,613067.85,95.56,29,4000000,24.41,32,32,32,32,64,100,95.31,61.00
25,bp-1v,25,125000,622636,"void scan_column<unsigned int, BPUnpacker<unsigned int, BitUnpackerStateful<unsigned int, 1, 1, BPFunctor<unsigned int>, CacheLoader<unsigned int, 1>, 0>, BPFunctor<unsigned int>, BPColumn<unsigned int>>, BPColumn<unsigned int>, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",95.09,95.09,25.93,33.53,614044.76,95.33,29,4000000,24.41,32,32,32,32,64,100,95.16,60.90
26,bp-1v,26,125000,624422,"void scan_column<unsigned int, BPUnpacker<unsigned int, BitUnpackerStateful<unsigned int, 1, 1, BPFunctor<unsigned int>, CacheLoader<unsigned int, 1>, 0>, BPFunctor<unsigned int>, BPColumn<unsigned int>>, BPColumn<unsigned int>, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",98.11,98.11,27.09,35.12,617170.32,94.95,29,4000000,24.41,32,32,32,32,64,100,95.35,61.03
27,bp-1v,27,125000,645761,"void scan_column<unsigned int, BPUnpacker<unsigned int, BitUnpackerStateful<unsigned int, 1, 1, BPFunctor<unsigned int>, CacheLoader<unsigned int, 1>, 0>, BPFunctor<unsigned int>, BPColumn<unsigned int>>, BPColumn<unsigned int>, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",99.28,99.28,27.63,35.63,634962.95,92.15,29,4000000,24.41,32,32,32,32,64,100,95.35,61.02
28,bp-1v,28,125000,668958,"void scan_column<unsigned int, BPUnpacker<unsigned int, BitUnpackerStateful<unsigned int, 1, 1, BPFunctor<unsigned int>, CacheLoader<unsigned int, 1>, 0>, BPFunctor<unsigned int>, BPColumn<unsigned int>>, BPColumn<unsigned int>, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",99.28,99.28,27.52,35.48,657931.26,88.97,29,4000000,24.41,32,32,32,32,64,100,95.43,61.08
29,bp-1v,29,125000,691578,"void scan_column<unsigned int, BPUnpacker<unsigned int, BitUnpackerStateful<unsigned int, 1, 1, BPFunctor<unsigned int>, CacheLoader<unsigned int, 1>, 0>, BPFunctor<unsigned int>, BPColumn<unsigned int>>, BPColumn<unsigned int>, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",99.39,99.39,28.15,36.30,680342.88,86.00,29,4000000,24.41,32,32,32,32,64,100,95.49,61.11
30,bp-1v,30,125000,715165,"void scan_column<unsigned int, BPUnpacker<unsigned int, BitUnpackerStateful<unsigned int, 1, 1, BPFunctor<unsigned int>, CacheLoader<unsigned int, 1>, 0>, BPFunctor<unsigned int>, BPColumn<unsigned int>>, BPColumn<unsigned int>, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",99.38,99.38,28.03,36.18,704008.22,83.20,29,4000000,24.41,32,32,32,32,64,100,95.48,61.11
31,bp-1v,31,125000,737875,"void scan_column<unsigned int, BPUnpacker<unsigned int, BitUnpackerStateful<unsigned int, 1, 1, BPFunctor<unsigned int>, CacheLoader<unsigned int, 1>, 0>, BPFunctor<unsigned int>, BPColumn<unsigned int>>, BPColumn<unsigned int>, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",99.41,99.41,28.31,36.57,727084.32,80.59,29,4000000,24.41,32,32,32,32,64,100,95.55,61.15
32,bp-1v,32,125000,762186,"void scan_column<unsigned int, BPUnpacker<unsigned int, BitUnpackerStateful<unsigned int, 1, 1, BPFunctor<unsigned int>, CacheLoader<unsigned int, 1>, 0>, BPFunctor<unsigned int>, BPColumn<unsigned int>>, BPColumn<unsigned int>, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",99.51,99.51,26.66,34.40,750212.69,78.02,29,4000000,24.41,32,32,32,32,64,100,97.03,62.10
0,bp-4v,0,125000,197092,"void scan_column<unsigned int, BPUnpacker<unsigned int, BitUnpackerStateful<unsigned int, 4, 1, BPFunctor<unsigned int>, CacheLoader<unsigned int, 4>, 0>, BPFunctor<unsigned int>, BPColumn<unsigned int>>, BPColumn<unsigned int>, 4>(T3, T1, bool *)","(64, 1, 1)","(15625, 1, 1)",25.94,3.00,26.21,1.07,194494.45,87.04,30,1000000,6.10,32,32,32,32,64,100,89.40,57.22
1,bp-4v,1,125000,201108,"void scan_column<unsigned int, BPUnpacker<unsigned int, BitUnpackerStateful<unsigned int, 4, 1, BPFunctor<unsigned int>, CacheLoader<unsigned int, 4>, 0>, BPFunctor<unsigned int>, BPColumn<unsigned int>>, BPColumn<unsigned int>, 4>(T3, T1, bool *)","(64, 1, 1)","(15625, 1, 1)",25.67,13.58,26.10,4.11,195310.48,86.14,30,1000000,6.10,32,32,32,32,64,100,89.70,57.40
2,bp-4v,2,125000,201043,"void scan_column<unsigned int, BPUnpacker<unsigned int, BitUnpackerStateful<unsigned int, 4, 1, BPFunctor<unsigned int>, CacheLoader<unsigned int, 4>, 0>, BPFunctor<unsigned int>, BPColumn<unsigned int>>, BPColumn<unsigned int>, 4>(T3, T1, bool *)","(64, 1, 1)","(15625, 1, 1)",25.62,25.50,26.13,8.20,195113.11,85.98,30,1000000,6.10,32,32,32,32,64,100,89.83,57.49
3,bp-4v,3,125000,210182,"void scan_column<unsigned int, BPUnpacker<unsigned int, BitUnpackerStateful<unsigned int, 4, 1, BPFunctor<unsigned int>, CacheLoader<unsigned int, 4>, 0>, BPFunctor<unsigned int>, BPColumn<unsigned int>>, BPColumn<unsigned int>, 4>(T3, T1, bool *)","(64, 1, 1)","(15625, 1, 1)",35.38,35.38,26.53,11.80,203947.42,86.11,30,1000000,6.10,32,32,32,32,64,100,89.69,57.40
